Species;name;Protein:rRNA;N:P;Growth rate,h1;Ref
Escherichia;coli;3.62;18.8;0.83;31
Escherichia;coli;2.68;14.9;1.04;1
Escherichia;coli;2.94;16.0;1.04;1
Escherichia;coli;2.26;13.1;1.08;2
Escherichia;coli;1.81;11.3;1.33;3
Escherichia;coli;1.73;10.9;1.39;3
Escherichia;coli;3.09;16.6;1.39;30
Escherichia;coli;2.78;15.3;1.43;4
Escherichia;coli;1.84;11.4;1.58;2
Escherichia;coli;1.34;9.3;1.58;2
Escherichia;coli;2.51;14.2;1.73;29
Escherichia;coli;1.96;11.9;1.78;2
Escherichia;coli;1.93;11.7;1.84;2
Saccharomyces;cerevisiae;6.01;28.8;0.3;5
Saccharomyces;cerevisiae;2.80;15.4;0.32;28
Saccharomyces;cerevisiae;4.16;21.1;0.36;6
Saccharomyces;cerevisiae;5.84;28.1;0.4;27
Saccharomyces;cerevisiae;5.04;24.7;0.43;7
Saccharomyces;cerevisiae;1.08;8.2;0.44;26
Saccharomyces;cerevisiae;3.51;18.3;0.46;3
Saccharomyces;cerevisiae;2.87;15.7;0.55;3
Saccharomyces;cerevisiae;1.85;11.4;0.63;8
Aerobacter;aerogenes;1.39;9.5;1.65;3
Aerobacter;aerogenes;4.40;22.1;0.8;9
Anacystis;nidulans;6.33;30.1;0.19;25
Arthrobacter;globiformis;2.28;13.2;0.34;10
Bacillus;subtilis;1.66;10.6;0.4;3
Candida;utilis;6.35;30.2;0.42;11
Candida;utilis;3.89;19.9;0.35;24
Candida;utilis;9.41;43.0;0.42;12
Cellulomonas;;2.07;12.3;0.4;23
Citrobacter;freundii;1.59;10.3;1.39;3
Clostridium;perfringens;2.15;12.7;0.9;3
Enterobacter;aerogenes;3.41;17.9;0.76;13
Erwinia;carotovora;1.96;11.9;1.02;3
Lactobacillus;bulgaricus;3.31;17.5;0.75;3
Micrococcus;anhaemolyticus;2.18;12.8;0.96;3
Neurospora;crassa;2.61;14.6;0.63;14
Paracoccus;denitrificans;3.68;19.0;0.5;22
Physarum;polycephalum;6.07;29.0;0.06;15
Prototheca;zopfii;4.15;21.0;0.223;21
Pseudomonas;aeruginosa;1.93;11.7;1.02;3
Saccharomyces;uvarum;2.99;16.2;0.25;17
Salmonella;typhimurium;1.85;11.4;1.39;3
Selenomonas;ruminantium;5.71;27.5;0.35;20
Serratia;marcescens;1.59;10.3;1.39;3
Streptomyces;hygroscopicus;2.06;12.3;0.38;19
Streptomyes;coelicolor;1.70;10.8;0.3;16
Tetrahymena;pyriformis;5.59;27.0;0.28;18
Tetrahymena;pyriformis;5.11;25.0;0.35;3
Zymomonas;mobilis;3.15;16.9;0.26;17
